,name,gene_reaction_rule,subunit_mw,subunit_num
GBBTNtex_reverse_num1,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GBBTNtex_reverse_num2,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b0241,38.922,3
GBBTNtex_reverse_num3,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GBBTNtex_reverse_num4,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ARBt2rpp_reverse,L-arabinose transport via proton symport (periplasm),b2841,51.68443,1
ARGAGMt7pp_reverse,Arginine/agmatine antiport (periplasm),b4115,46.84262,2
ASNt2rpp_reverse,L-asparagine reversible transport via proton symport (periplasm),b1453,54.23309,1
HIStex_reverse_num1,L-histidine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
HIStex_reverse_num2,L-histidine transport via diffusion (extracellular to periplasm),b0241,38.922,3
HIStex_reverse_num3,L-histidine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
HIStex_reverse_num4,L-histidine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
HXAtex_reverse_num1,Hexanoate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
HXAtex_reverse_num2,Hexanoate transport via diffusion (extracellular to periplasm),b0241,38.922,3
HXAtex_reverse_num3,Hexanoate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
HXAtex_reverse_num4,Hexanoate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
HYXNtex_reverse_num1,Hypoxanthine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
HYXNtex_reverse_num2,Hypoxanthine transport via diffusion (extracellular to periplasm),b2215,40.36812,3
HYXNtex_reverse_num3,Hypoxanthine transport via diffusion (extracellular to periplasm),b0241,38.922,3
HYXNtex_reverse_num4,Hypoxanthine transport via diffusion (extracellular to periplasm),b1377,41.21985 ,1 
IDONtex_reverse_num1,L-idonate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
IDONtex_reverse_num2,L-idonate transport via diffusion (extracellular to periplasm),b0241,38.922,3
IDONtex_reverse_num3,L-idonate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
IDONtex_reverse_num4,L-idonate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ILEtex_reverse_num1,L-isoleucine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ILEtex_reverse_num2,L-isoleucine transport via diffusion (extracellular to periplasm),b0241,38.922,3
ILEtex_reverse_num3,L-isoleucine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ILEtex_reverse_num4,L-isoleucine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
INSTtex_reverse_num1,Inositol transport via diffusion (extracellular to periplasm),b1377,41.21985,1
INSTtex_reverse_num2,Inositol transport via diffusion (extracellular to periplasm),b0241,38.922,3
INSTtex_reverse_num3,Inositol transport via diffusion (extracellular to periplasm),b0929,39.33331,3
INSTtex_reverse_num4,Inositol transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
INStex_reverse,Inosine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
Ktex_reverse_num1,Potassium transport via diffusion (extracellular to periplasm),b1377,41.21985,1
Ktex_reverse_num2,Potassium transport via diffusion (extracellular to periplasm),b0241,38.922,3
Ktex_reverse_num3,Potassium transport via diffusion (extracellular to periplasm),b0929,39.33331,3
Ktex_reverse_num4,Potassium transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
D_LACtex_reverse_num1,D-lactate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
D_LACtex_reverse_num2,D-lactate transport via diffusion (extracellular to periplasm),b0241,38.922,3
D_LACtex_reverse_num3,D-lactate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
D_LACtex_reverse_num4,D-lactate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
FRULYStex_reverse_num1,Fructoselysine transporter via diffusion (extracellular),b1377,41.21985,1
FRULYStex_reverse_num2,Fructoselysine transporter via diffusion (extracellular),b0241,38.922,3
FRULYStex_reverse_num3,Fructoselysine transporter via diffusion (extracellular),b0929,39.33331,3
FRULYStex_reverse_num4,Fructoselysine transporter via diffusion (extracellular),b2215,40.36812 ,3 
GALCTt2rpp_reverse_num1,"D-galactarte transport via proton symport, reversible (periplasm)",b2789,49.14209,1
GALCTt2rpp_reverse_num2,"D-galactarte transport via proton symport, reversible (periplasm)",b3127,49.00924 ,1 
ASPtex_reverse_num1,L-aspartate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ASPtex_reverse_num2,L-aspartate transport via diffusion (extracellular to periplasm),b0241,38.922,3
ASPtex_reverse_num3,L-aspartate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ASPtex_reverse_num4,L-aspartate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ACt2rpp_reverse,Acetate reversible transport via proton symport (periplasm),b0010,20.071,1
ATPS4rpp_reverse_num1,ATP synthase (four protons for one ATP) (periplasm),( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ),( 55.22208 and 31.57742 and 15.06827 and 19.33222 and 50.32542 and 13.63173 and 8.25611 and 30.30326 and 17.26396 ),( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 )
ATPS4rpp_reverse_num2,ATP synthase (four protons for one ATP) (periplasm),( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 50.32542 and 19.33222 and 15.06827 and 31.57742 and 55.22208 and 8.25611 and 30.30326 and 17.26396 ) ,( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) 
INDOLEtex_reverse_num1,Indole transport via diffusion (extracellular to periplasm),b1377,41.21985,1
INDOLEtex_reverse_num2,Indole transport via diffusion (extracellular to periplasm),b0241,38.922,3
INDOLEtex_reverse_num3,Indole transport via diffusion (extracellular to periplasm),b0929,39.33331,3
INDOLEtex_reverse_num4,Indole transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
L_LACtex_reverse_num1,L-lactate transport via diffusion (extracellular to periplasm),b2215,40.36812,3
L_LACtex_reverse_num2,L-lactate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
L_LACtex_reverse_num3,L-lactate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
L_LACtex_reverse_num4,L-lactate transport via diffusion (extracellular to periplasm),b0241,38.922 ,3 
ADEt2rpp_reverse_num1,Adenine transport via proton symport (reversible) (periplasm),b3714,46.86575,1
ADEt2rpp_reverse_num2,Adenine transport via proton symport (reversible) (periplasm),b3654,48.86804,1
ADEt2rpp_reverse_num3,Adenine transport via proton symport (reversible) (periplasm),b3664,46.934 ,1 
ADNt2pp_copy2_reverse,,b2406,46.13983,1
ALLTNt2rpp_reverse,Allantoin transport in via proton symport (periplasm),b0511,52.45608,1
ECOAH8_reverse_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b2341,77.07221,1
ECOAH8_reverse_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b3846,79.59391 ,2 
GUAtpp_reverse_num1,Guanine transport via diffusion (periplasm),b4464,46.758,1
GUAtpp_reverse_num2,Guanine transport via diffusion (periplasm),b4064,45.712 ,1 
HYXNtpp_reverse_num1,Hypoxanthine transport (periplasm),b4064,45.712,1
HYXNtpp_reverse_num2,Hypoxanthine transport (periplasm),b4464,46.758 ,1 
GLCRtex_reverse_num1,D-glucarate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GLCRtex_reverse_num2,D-glucarate transport via diffusion (extracellular to periplasm),b0241,38.922,3
GLCRtex_reverse_num3,D-glucarate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GLCRtex_reverse_num4,D-glucarate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
GLCNtex_reverse_num1,D-gluconate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GLCNtex_reverse_num2,D-gluconate transport via diffusion (extracellular to periplasm),b0241,38.922,3
GLCNtex_reverse_num3,D-gluconate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GLCNtex_reverse_num4,D-gluconate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
GLCURtex_reverse_num1,D-glucuronat transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GLCURtex_reverse_num2,D-glucuronat transport via diffusion (extracellular to periplasm),b0241,38.922,3
GLCURtex_reverse_num3,D-glucuronat transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GLCURtex_reverse_num4,D-glucuronat transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
GLNtex_reverse_num1,L-glutamine transport via diffusion (extracellular to periplasm),b2215,40.36812,3
GLNtex_reverse_num2,L-glutamine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GLNtex_reverse_num3,L-glutamine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GLNtex_reverse_num4,L-glutamine transport via diffusion (extracellular to periplasm),b0241,38.922 ,3 
O2tex_reverse_num1,Oxygen transport via diffusion (extracellular to periplasm),b1377,41.21985,1
O2tex_reverse_num2,Oxygen transport via diffusion (extracellular to periplasm),b0241,38.922,3
O2tex_reverse_num3,Oxygen transport via diffusion (extracellular to periplasm),b0929,39.33331,3
O2tex_reverse_num4,Oxygen transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
OCTAtex_reverse_num1,Octanoate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
OCTAtex_reverse_num2,Octanoate transport via diffusion (extracellular to periplasm),b0241,38.922,3
OCTAtex_reverse_num3,Octanoate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
OCTAtex_reverse_num4,Octanoate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ORNtex_reverse_num1,Ornithine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ORNtex_reverse_num2,Ornithine transport via diffusion (extracellular to periplasm),b0241,38.922,3
ORNtex_reverse_num3,Ornithine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ORNtex_reverse_num4,Ornithine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ECOAH5_reverse_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),b2341,77.07221,1
ECOAH5_reverse_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),b3846,79.59391 ,2 
FUCtpp_reverse,L-fucose transport via proton symport (periplasm),b2801,47.54491,1
CYTDt2pp_copy2_reverse,,b2406,46.13983,1
DDGLCNt2rpp_reverse,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",b3909,33.66927,1
RMNtex_reverse_num1,L-rhamnose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
RMNtex_reverse_num2,L-rhamnose transport via diffusion (extracellular to periplasm),b0241,38.922,3
RMNtex_reverse_num3,L-rhamnose transport via diffusion (extracellular to periplasm),b2215,40.36812,3
RMNtex_reverse_num4,L-rhamnose transport via diffusion (extracellular to periplasm),b1377,41.21985 ,1 
PHEtex_reverse_num1,L-phenylalanine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PHEtex_reverse_num2,L-phenylalanine transport via diffusion (extracellular to periplasm),b0241,38.922,3
PHEtex_reverse_num3,L-phenylalanine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PHEtex_reverse_num4,L-phenylalanine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PItex_reverse_num1,Phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PItex_reverse_num2,Phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
PItex_reverse_num3,Phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PItex_reverse_num4,Phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
TRSARr_reverse_num1,Tartronate semialdehyde reductase,b0509,30.80058,4
TRSARr_reverse_num2,Tartronate semialdehyde reductase,b3125,30.42744 ,1 
PNTOtex_reverse_num1,Pantothenate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PNTOtex_reverse_num2,Pantothenate transport via diffusion (extracellular to periplasm),b0241,38.922,3
PNTOtex_reverse_num3,Pantothenate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PNTOtex_reverse_num4,Pantothenate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PPPNtex_reverse_num1,3-phenylpropionate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PPPNtex_reverse_num2,3-phenylpropionate transport via diffusion (extracellular to periplasm),b0241,38.922,3
PPPNtex_reverse_num3,3-phenylpropionate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PPPNtex_reverse_num4,3-phenylpropionate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PPTtex_reverse_num1,Phosphonate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PPTtex_reverse_num2,Phosphonate transport via diffusion (extracellular to periplasm),b0241,38.922,3
PPTtex_reverse_num3,Phosphonate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PPTtex_reverse_num4,Phosphonate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PTRCtex_reverse_num1,Putrescine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PTRCtex_reverse_num2,Putrescine transport via diffusion (extracellular to periplasm),b0241,38.922,3
PTRCtex_reverse_num3,Putrescine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PTRCtex_reverse_num4,Putrescine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PYRtex_reverse_num1,Pyruvate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PYRtex_reverse_num2,Pyruvate transport via diffusion (extracellular to periplasm),b0241,38.922,3
PYRtex_reverse_num3,Pyruvate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PYRtex_reverse_num4,Pyruvate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DSERtex_reverse_num1,D-serine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DSERtex_reverse_num2,D-serine transport via diffusion (extracellular to periplasm),b0241,38.922,3
DSERtex_reverse_num3,D-serine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
DSERtex_reverse_num4,D-serine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
SERtex_reverse_num1,L-serine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
SERtex_reverse_num2,L-serine transport via diffusion (extracellular to periplasm),b0241,38.922,3
SERtex_reverse_num3,L-serine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
SERtex_reverse_num4,L-serine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
SO4tex_reverse_num1,Sulfate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
SO4tex_reverse_num2,Sulfate transport via diffusion (extracellular to periplasm),b0241,38.922,3
SO4tex_reverse_num3,Sulfate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
SO4tex_reverse_num4,Sulfate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
SPMDtex_reverse_num1,Spermidine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
SPMDtex_reverse_num2,Spermidine transport via diffusion (extracellular to periplasm),b2215,40.36812,3
SPMDtex_reverse_num3,Spermidine transport via diffusion (extracellular to periplasm),b0241,38.922,3
SPMDtex_reverse_num4,Spermidine transport via diffusion (extracellular to periplasm),b1377,41.21985 ,1 
SUCCtex_reverse_num1,Succinate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
SUCCtex_reverse_num2,Succinate transport via diffusion (extracellular to periplasm),b0241,38.922,3
SUCCtex_reverse_num3,Succinate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
SUCCtex_reverse_num4,Succinate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
SUCRtex_reverse_num1,Sucrose transport transport via diffusion (extracellular to periplasm),b1377,41.21985,1
SUCRtex_reverse_num2,Sucrose transport transport via diffusion (extracellular to periplasm),b0241,38.922,3
SUCRtex_reverse_num3,Sucrose transport transport via diffusion (extracellular to periplasm),b0929,39.33331,3
SUCRtex_reverse_num4,Sucrose transport transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
TARTRtex_reverse_num1,Tartrate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
TARTRtex_reverse_num2,Tartrate transport via diffusion (extracellular to periplasm),b0241,38.922,3
TARTRtex_reverse_num3,Tartrate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
TARTRtex_reverse_num4,Tartrate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
TAURtex_reverse_num1,Taurine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
TAURtex_reverse_num2,Taurine transport via diffusion (extracellular to periplasm),b0241,38.922,3
TAURtex_reverse_num3,Taurine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
TAURtex_reverse_num4,Taurine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
THRtex_reverse_num1,L-threonine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
THRtex_reverse_num2,L-threonine transport via diffusion (extracellular to periplasm),b0241,38.922,3
THRtex_reverse_num3,L-threonine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
THRtex_reverse_num4,L-threonine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
THMDtex_reverse_num1,Thymidine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
THMDtex_reverse_num2,Thymidine transport via diffusion (extracellular to periplasm),b0241,38.922,3
THMDtex_reverse_num3,Thymidine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
THMDtex_reverse_num4,Thymidine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
METDtex_reverse_num1,D-methionine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
METDtex_reverse_num2,D-methionine transport via diffusion (extracellular to periplasm),b0241,38.922,3
METDtex_reverse_num3,D-methionine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
METDtex_reverse_num4,D-methionine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
METtex_reverse_num1,L-methionine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
METtex_reverse_num2,L-methionine transport via diffusion (extracellular to periplasm),b0241,38.922,3
METtex_reverse_num3,L-methionine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
METtex_reverse_num4,L-methionine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
MNLtex_reverse_num1,Mannitol transport via diffusion (extracellular to periplasm),b0241,38.922,3
MNLtex_reverse_num2,Mannitol transport via diffusion (extracellular to periplasm),b1377,41.21985,1
MNLtex_reverse_num3,Mannitol transport via diffusion (extracellular to periplasm),b2215,40.36812,3
MNLtex_reverse_num4,Mannitol transport via diffusion (extracellular to periplasm),b0929,39.33331 ,3 
NAtex_reverse_num1,Sodium transport via diffusion (extracellular to periplasm),b1377,41.21985,1
NAtex_reverse_num2,Sodium transport via diffusion (extracellular to periplasm),b0241,38.922,3
NAtex_reverse_num3,Sodium transport via diffusion (extracellular to periplasm),b0929,39.33331,3
NAtex_reverse_num4,Sodium transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
NACtex_reverse_num1,Nicotinic acid transport via diffusion (extracellular to periplasm),b1377,41.21985,1
NACtex_reverse_num2,Nicotinic acid transport via diffusion (extracellular to periplasm),b0241,38.922,3
NACtex_reverse_num3,Nicotinic acid transport via diffusion (extracellular to periplasm),b0929,39.33331,3
NACtex_reverse_num4,Nicotinic acid transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
NH4tex_reverse_num1,Ammonia transport via diffusion (extracellular to periplasm),b0241,38.922,3
NH4tex_reverse_num2,Ammonia transport via diffusion (extracellular to periplasm),b1377,41.21985,1
NH4tex_reverse_num3,Ammonia transport via diffusion (extracellular to periplasm),b2215,40.36812,3
NH4tex_reverse_num4,Ammonia transport via diffusion (extracellular to periplasm),b0929,39.33331 ,3 
BUTtex_reverse_num1,Butyrate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
BUTtex_reverse_num2,Butyrate transport via diffusion (extracellular to periplasm),b0241,38.922,3
BUTtex_reverse_num3,Butyrate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
BUTtex_reverse_num4,Butyrate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
CHLtex_reverse_num1,Choline transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CHLtex_reverse_num2,Choline transport via diffusion (extracellular to periplasm),b0241,38.922,3
CHLtex_reverse_num3,Choline transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CHLtex_reverse_num4,Choline transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
CO2tex_reverse_num1,CO2 transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CO2tex_reverse_num2,CO2 transport via diffusion (extracellular to periplasm),b0241,38.922,3
CO2tex_reverse_num3,CO2 transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CO2tex_reverse_num4,CO2 transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
CRNtex_reverse_num1,L-carnitine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CRNtex_reverse_num2,L-carnitine transport via diffusion (extracellular to periplasm),b0241,38.922,3
CRNtex_reverse_num3,L-carnitine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CRNtex_reverse_num4,L-carnitine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DINStex_reverse_num1,Deoxyinosine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DINStex_reverse_num2,Deoxyinosine transport via diffusion (extracellular to periplasm),b0241,38.922,3
DINStex_reverse_num3,Deoxyinosine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
DINStex_reverse_num4,Deoxyinosine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DMStex_reverse_num1,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DMStex_reverse_num2,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b0241,38.922,3
DMStex_reverse_num3,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b0929,39.33331,3
DMStex_reverse_num4,Dimethyl sulfide transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
CSNtex_reverse_num1,Cytosine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CSNtex_reverse_num2,Cytosine transport via diffusion (extracellular to periplasm),b0241,38.922,3
CSNtex_reverse_num3,Cytosine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CSNtex_reverse_num4,Cytosine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
CYNTtex_reverse_num1,Cyanate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CYNTtex_reverse_num2,Cyanate transport via diffusion (extracellular to periplasm),b2215,40.36812,3
CYNTtex_reverse_num3,Cyanate transport via diffusion (extracellular to periplasm),b0241,38.922,3
CYNTtex_reverse_num4,Cyanate transport via diffusion (extracellular to periplasm),b1377,41.21985 ,1 
CYStex_reverse_num1,L-cysteine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CYStex_reverse_num2,L-cysteine transport via diffusion (extracellular to periplasm),b0241,38.922,3
CYStex_reverse_num3,L-cysteine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CYStex_reverse_num4,L-cysteine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
CYTDtex_reverse_num1,Cytidine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CYTDtex_reverse_num2,Cytidine transport via diffusion (extracellular to periplasm),b0241,38.922,3
CYTDtex_reverse_num3,Cytidine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CYTDtex_reverse_num4,Cytidine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DCAtex_reverse_num1,Decanoate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DCAtex_reverse_num2,Decanoate transport via diffusion (extracellular to periplasm),b0241,38.922,3
DCAtex_reverse_num3,Decanoate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
DCAtex_reverse_num4,Decanoate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DCYTtex_reverse,Deoxycytidine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
DGSNtex_reverse_num1,Deoxyguanosine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DGSNtex_reverse_num2,Deoxyguanosine transport via diffusion (extracellular to periplasm),b0241,38.922,3
DGSNtex_reverse_num3,Deoxyguanosine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
DGSNtex_reverse_num4,Deoxyguanosine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
LCTStex_reverse_num1,Lactose transport via diffusion (extracellular to periplasm),b1377,41.21985,1
LCTStex_reverse_num2,Lactose transport via diffusion (extracellular to periplasm),b0241,38.922,3
LCTStex_reverse_num3,Lactose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
LCTStex_reverse_num4,Lactose transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
LEUtex_reverse_num1,L-leucine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
LEUtex_reverse_num2,L-leucine transport via diffusion (extracellular to periplasm),b0241,38.922,3
LEUtex_reverse_num3,L-leucine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
LEUtex_reverse_num4,L-leucine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
LYStex_reverse_num1,L-lysine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
LYStex_reverse_num2,L-lysine transport via diffusion (extracellular to periplasm),b0241,38.922,3
LYStex_reverse_num3,L-lysine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
LYStex_reverse_num4,L-lysine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
LYXtex_reverse_num1,L-Lyxose transport via diffusion (extracellular to periplasm),b1377,41.21985,1
LYXtex_reverse_num2,L-Lyxose transport via diffusion (extracellular to periplasm),b0241,38.922,3
LYXtex_reverse_num3,L-Lyxose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
LYXtex_reverse_num4,L-Lyxose transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
MANtex_reverse_num1,D-mannose transport via diffusion (extracellular to periplasm),b1377,41.21985,1
MANtex_reverse_num2,D-mannose transport via diffusion (extracellular to periplasm),b0241,38.922,3
MANtex_reverse_num3,D-mannose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
MANtex_reverse_num4,D-mannose transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
MAN6Ptex_reverse_num1,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
MAN6Ptex_reverse_num2,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812,3
MAN6Ptex_reverse_num3,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
MAN6Ptex_reverse_num4,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985 ,1 
MELIBtex_reverse_num1,Melibiose transport via diffusion (extracellular to periplasm),b1377,41.21985,1
MELIBtex_reverse_num2,Melibiose transport via diffusion (extracellular to periplasm),b0241,38.922,3
MELIBtex_reverse_num3,Melibiose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
MELIBtex_reverse_num4,Melibiose transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DMSOtex_reverse_num1,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DMSOtex_reverse_num2,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b0241,38.922,3
DMSOtex_reverse_num3,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),b0929,39.33331,3
